Cutoff,Cuttoff/ArraySize,thread = 1,thread = 2,thread = 4,thread = 8,thread = 16,thread = 32,thread = 64
510000.0,0.1275,5272,4140,5426,5842,5373,4725,3681
520000.0,0.13,4756,4807,5280,4525,5015,4586,3292
530000.0,0.1325,4612,5539,5491,3539,5139,5093,3431
540000.0,0.135,4769,5489,5371,4225,5214,4920,3744
550000.0,0.1375,4793,5694,4322,4215,4737,4824,4041
560000.0,0.14,4986,5415,4870,3260,5392,3404,3395
570000.0,0.1425,5112,5700,5111,3647,5326,3557,3328
580000.0,0.145,4869,5653,5123,4112,5257,3126,3887
590000.0,0.1475,5331,5168,5622,3598,5279,4048,4128
600000.0,0.15,4347,4818,5104,4200,5327,3912,4365
610000.0,0.1525,5407,5122,4966,3932,5318,3927,3741
620000.0,0.155,5247,5205,5255,4067,5292,4010,4261
630000.0,0.1575,5257,4287,5277,4554,5327,2900,4200
640000.0,0.16,5046,4172,4186,4426,4891,2974,4231
650000.0,0.1625,3699,4660,4899,4637,5054,3013,4370
660000.0,0.165,4264,5312,5183,4438,3756,3583,4036
670000.0,0.1675,4994,5401,5253,4285,4308,3202,3806
680000.0,0.17,4484,4696,4950,3502,4759,4167,4125
690000.0,0.1725,5367,4614,5076,4431,5396,4394,4415
700000.0,0.175,5434,5258,5078,3978,4910,4709,4591
710000.0,0.1775,5302,5025,3335,4646,4937,5029,4020
720000.0,0.18,4930,4994,5006,4016,4261,4855,4202
730000.0,0.1825,5502,5381,4672,4158,3339,4874,4157
740000.0,0.185,5321,5318,4869,4167,4462,4650,4313
750000.0,0.1875,5317,5281,5349,4072,5084,5000,3837
760000.0,0.19,5695,4271,5245,3754,4890,4962,4247
770000.0,0.1925,5899,5214,5355,3437,4634,4684,3577
780000.0,0.195,5778,5366,5250,3689,4606,4745,3656
790000.0,0.1975,5664,5403,5206,3488,4592,3711,4118
800000.0,0.2,5953,5191,5265,3594,4358,3960,3946
810000.0,0.2025,5988,5293,5059,4084,3323,5037,4029
820000.0,0.205,5702,5451,3721,4103,3837,4653,3726
830000.0,0.2075,5796,5266,4843,3341,4708,3205,4040
840000.0,0.21,6070,5511,4554,3229,4778,3648,4350
850000.0,0.2125,5865,5563,5212,4452,4579,4613,4152
860000.0,0.215,6118,5578,4859,4692,4655,4648,4083
870000.0,0.2175,5992,5142,5171,4618,3135,4838,3848
880000.0,0.22,5945,5468,4522,4780,3661,4731,4217
890000.0,0.2225,5887,5385,5017,4116,4144,4672,4216
900000.0,0.225,5465,5670,4986,4835,3805,4517,4722
910000.0,0.2275,5947,5733,4653,4800,3855,3383,4686
920000.0,0.23,5891,5406,4652,4832,4013,4296,4656
930000.0,0.2325,5477,5272,4924,4013,3799,4486,3979
940000.0,0.235,6086,5545,5314,4028,4195,4572,3258
950000.0,0.2375,6072,5607,5304,4741,4129,4864,3542
960000.0,0.24,6131,5435,5307,4738,5001,3517,3548
970000.0,0.2425,5729,5765,4905,4760,4622,4330,3730
980000.0,0.245,5334,5426,4903,4825,4813,3779,3867
990000.0,0.2475,5899,5225,5183,4876,4889,4246,3884
1000000.0,0.25,5965,5449,5193,4709,4666,4520,4062
